termo,categoria,definicao_academica,relacao_com_o_projeto
MAE,metrica,Erro absoluto medio entre valores previstos e observados.,Mede erro medio sem amplificar discrepancias extremas.
MSE,metrica,Erro quadratico medio entre previsao e referencia.,Penaliza fortemente erros de grande magnitude.
RMSE,metrica,Raiz quadrada do MSE.,Retorna o erro em escala comparavel a unidade original da variavel.
R2,metrica,Coeficiente de determinacao.,Indica a fracao da variabilidade explicada pelo modelo.
baseline,avaliacao,Metodo de referencia usado como padrao minimo de comparacao.,"Neste projeto, a baseline principal e a persistencia."
persistencia,avaliacao,Estrategia que projeta o ultimo valor observado para o horizonte futuro.,Serve como referencia forte em series de curta memoria.
janela deslizante,series_temporais,Subsequencia temporal usada como entrada do modelo.,A janela resume o contexto recente para prever o futuro imediato.
horizonte de previsao,series_temporais,Numero de passos futuros previstos por amostra.,"Na configuracao recomendada da versao5, o horizonte e multi-step."
serie temporal multivariada,series_temporais,Sequencia cronologica composta por varias variaveis observadas simultaneamente.,"O 3W fornece sinais de pressao, temperatura, vazao e estados operacionais."
split temporal,series_temporais,Particao treino-validacao-teste que preserva a ordem cronologica.,Evita vazamento de informacao futura.
data leakage,series_temporais,Uso inadvertido de informacao futura ou externa durante o treinamento.,Compromete a validade da avaliacao experimental.
outlier,pre_processamento,Observacao extrema em relacao ao comportamento dominante dos dados.,Pode distorcer escalonamento e treinamento.
interpolacao,pre_processamento,Estimativa de valores faltantes com base em observacoes vizinhas.,Foi usada nas variaveis analogicas continuas.
forward fill,pre_processamento,Preenchimento de ausencias com o ultimo valor valido observado.,Apropriado para sinais de estado quase discretos.
robust scaler,pre_processamento,Escalonador baseado em mediana e intervalo interquartil.,Reduz sensibilidade a amplitudes extremas.
feature engineering,pre_processamento,Construcao de atributos derivados para ampliar a capacidade descritiva dos dados.,"As features diff1, dev_roll e std_roll sao exemplos."
diff1,pre_processamento,Primeira diferenca temporal.,Aproxima a derivada discreta do sinal.
rolling mean,pre_processamento,Media movel calculada em uma janela finita.,Resume tendencia local.
rolling standard deviation,pre_processamento,Desvio-padrao movel.,Resume variabilidade local.
desvio local,pre_processamento,Diferenca entre a observacao atual e sua media movel.,Quantifica afastamento do comportamento recente.
batch,otimizacao,Conjunto de amostras processadas conjuntamente em cada iteracao.,Equilibra custo computacional e estabilidade do gradiente.
epoch,otimizacao,Passagem completa do algoritmo sobre o conjunto amostrado de treinamento.,Usada para monitorar convergencia.
